time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
14356,0,0,0,8,8
14356,0,0,0,0,16
14528.9,0,0,0,8,8
14528.9,0,0,0,16,0
14528.9,0,0,0,8,8
14528.9,0,0,0,4,12
14528.9,0,0,0,0,16
14617.5,0,0,0,4,12
14617.5,0,0,0,8,8
14617.5,0,0,0,4,12
14617.5,0,0,0,0,16
14699.7,0,0,0,8,8
14706.1,0,0,0,12,4
14755.7,0,0,0,16,0
14755.7,0,0,0,0,16
14869.6,0,0,0,16,0
14869.6,0,0,0,0,16
14974.5,0,0,0,16,0
14974.5,0,0,0,8,8
14974.5,0,0,0,0,16
15145.3,0,0,0,8,8
15147.4,0,0,0,16,0
15147.4,0,0,0,0,16
15252.3,0,0,0,16,0
15252.3,0,0,0,0,16
15366.3,0,0,0,16,0
15366.3,0,0,0,8,8
15366.3,0,0,0,4,12
15366.3,0,0,0,0,16
15454.8,0,0,0,4,12
15454.8,0,0,0,0,16
15503.5,0,0,0,4,12
15537.1,0,0,0,12,4
15543.4,0,0,0,16,0
15543.4,0,0,0,0,16
15657.2,0,0,0,16,0
15657.2,0,0,0,8,8
15657.2,0,0,0,4,12
15657.2,0,0,0,0,16
15745.8,0,0,0,4,12
15745.8,0,0,0,8,8
15830.2,0,0,0,16,0
15830.2,0,0,0,0,16
15944.1,0,0,0,16,0
15944.1,0,0,0,0,16
16058,0,0,0,16,0
16058,0,0,0,0,16
16162.9,0,0,0,16,0
16162.9,0,0,0,0,16
16276.7,0,0,0,16,0
16276.7,0,0,0,8,8
16276.7,0,0,0,0,16
16447.5,0,0,0,8,8
16449.7,0,0,0,16,0
16449.7,0,0,0,0,16
16554.6,0,0,0,16,0
16554.6,0,0,0,8,8
16727.5,0,0,0,16,0
