time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
11705.5,0,0,0,0,64
11707.7,0,0,0,8,56
11707.7,0,0,0,0,64
11801.4,0,0,0,8,56
11801.4,0,0,0,0,64
11803.5,0,0,0,8,56
11803.5,0,0,0,0,64
11878.5,0,0,0,8,56
11878.5,0,0,0,16,48
11878.5,0,0,0,8,56
11878.5,0,0,0,0,64
11972.2,0,0,0,8,56
11972.2,0,0,0,0,64
11976.4,0,0,0,8,56
12049.3,0,0,0,16,48
12051.4,0,0,0,24,40
12145.1,0,0,0,32,32
12405.8,0,0,0,64,0
12405.8,0,0,0,32,32
12405.8,0,0,0,0,64
12540.9,0,0,0,32,32
12540.9,0,0,0,0,64
13851.8,0,0,0,32,32
13851.8,0,0,0,0,64
13986.9,0,0,0,32,32
15297.9,0,0,0,64,0
15297.9,0,0,0,0,64
15376.5,0,0,0,64,0
15376.5,0,0,0,0,64
15455.2,0,0,0,64,0
